id,serviceId,serviceName,question,funnelStage,persona,sourceType,sourceRef,recommendedFormat
Q-024,residential-refinancing,Residential Refinancing,"What can I do when residential mortgage refinancing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Homeowner changing debt structure or accessing equity,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-025,renovation-financing,Renovation Financing,"What is home renovation financing, and when is it useful in Ontario?",awareness-education,Homeowner or buyer funding improvements,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-026,renovation-financing,Renovation Financing,"How do lenders assess eligibility, equity, cost, and risk for home renovation financing?",project-feasibility,Homeowner or buyer funding improvements,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-027,renovation-financing,Renovation Financing,How does home renovation financing compare with the main alternatives?,planning-comparison,Homeowner or buyer funding improvements,template-expanded from SERP comparison intent,serp-renovation-financing,comparison table
Q-028,renovation-financing,Renovation Financing,"What can I do when home renovation financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Homeowner or buyer funding improvements,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-029,construction-financing,Construction Financing / DrawFlow,"What is construction draw financing, and when is it useful in Ontario?",awareness-education,"Builder, developer, or owner-builder",template-expanded from validated service entity,service-inventory,plain-language explainer
Q-030,construction-financing,Construction Financing / DrawFlow,"How do lenders assess eligibility, equity, cost, and risk for construction draw financing?",project-feasibility,"Builder, developer, or owner-builder",template-expanded from financing triggers,service-inventory,checklist or calculator
Q-031,construction-financing,Construction Financing / DrawFlow,How does construction draw financing compare with the main alternatives?,planning-comparison,"Builder, developer, or owner-builder",template-expanded from SERP comparison intent,serp-construction-financing,comparison table
Q-032,construction-financing,Construction Financing / DrawFlow,"What can I do when construction draw financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,"Builder, developer, or owner-builder",template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-033,multiplex-financing,Multi-plex Financing,"What is Toronto multiplex financing, and when is it useful in Ontario?",awareness-education,Small developer or investor adding two to six units,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-034,multiplex-financing,Multi-plex Financing,"How do lenders assess eligibility, equity, cost, and risk for Toronto multiplex financing?",project-feasibility,Small developer or investor adding two to six units,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-035,multiplex-financing,Multi-plex Financing,How does Toronto multiplex financing compare with the main alternatives?,planning-comparison,Small developer or investor adding two to six units,template-expanded from SERP comparison intent,serp-multiplex-financing,comparison table
Q-036,multiplex-financing,Multi-plex Financing,"What can I do when Toronto multiplex financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Small developer or investor adding two to six units,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-037,garden-laneway-suites,Garden & Laneway Suite Financing,"What is garden or laneway suite financing, and when is it useful in Ontario?",awareness-education,Toronto homeowner adding a backyard rental,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-038,garden-laneway-suites,Garden & Laneway Suite Financing,"How do lenders assess eligibility, equity, cost, and risk for garden or laneway suite financing?",project-feasibility,Toronto homeowner adding a backyard rental,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-039,garden-laneway-suites,Garden & Laneway Suite Financing,How does garden or laneway suite financing compare with the main alternatives?,planning-comparison,Toronto homeowner adding a backyard rental,template-expanded from SERP comparison intent,serp-garden-laneway-suites,comparison table
Q-040,garden-laneway-suites,Garden & Laneway Suite Financing,"What can I do when garden or laneway suite financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Toronto homeowner adding a backyard rental,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-041,mli-select,MLI Select Insured Housing,"What is CMHC MLI Select financing, and when is it useful in Ontario?",awareness-education,Multi-unit rental developer or owner,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-042,mli-select,MLI Select Insured Housing,"How do lenders assess eligibility, equity, cost, and risk for CMHC MLI Select financing?",project-feasibility,Multi-unit rental developer or owner,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-043,mli-select,MLI Select Insured Housing,How does CMHC MLI Select financing compare with the main alternatives?,planning-comparison,Multi-unit rental developer or owner,template-expanded from SERP comparison intent,serp-mli-select,comparison table
Q-044,mli-select,MLI Select Insured Housing,"What can I do when CMHC MLI Select financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Multi-unit rental developer or owner,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-045,rental-acquisition,Existing Rental Property Acquisition Financing,"What is rental property acquisition financing, and when is it useful in Ontario?",awareness-education,Landlord or investor acquiring a rental asset,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-046,rental-acquisition,Existing Rental Property Acquisition Financing,"How do lenders assess eligibility, equity, cost, and risk for rental property acquisition financing?",project-feasibility,Landlord or investor acquiring a rental asset,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-047,rental-acquisition,Existing Rental Property Acquisition Financing,How does rental property acquisition financing compare with the main alternatives?,planning-comparison,Landlord or investor acquiring a rental asset,template-expanded from SERP comparison intent,serp-rental-acquisition,comparison table
Q-048,rental-acquisition,Existing Rental Property Acquisition Financing,"What can I do when rental property acquisition financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Landlord or investor acquiring a rental asset,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-049,rental-refinancing,Existing Rental Property Refinancing,"What is rental property refinancing, and when is it useful in Ontario?",awareness-education,Landlord or portfolio owner restructuring existing debt,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-050,rental-refinancing,Existing Rental Property Refinancing,"How do lenders assess eligibility, equity, cost, and risk for rental property refinancing?",project-feasibility,Landlord or portfolio owner restructuring existing debt,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-051,rental-refinancing,Existing Rental Property Refinancing,How does rental property refinancing compare with the main alternatives?,planning-comparison,Landlord or portfolio owner restructuring existing debt,template-expanded from SERP comparison intent,serp-rental-refinancing,comparison table
Q-052,rental-refinancing,Existing Rental Property Refinancing,"What can I do when rental property refinancing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Landlord or portfolio owner restructuring existing debt,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-053,private-mortgage-investing,Private Mortgage Investing,"What is private mortgage investing, and when is it useful in Ontario?",awareness-education,Qualified investor seeking mortgage-backed yield,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-054,private-mortgage-investing,Private Mortgage Investing,"How do lenders assess eligibility, equity, cost, and risk for private mortgage investing?",project-feasibility,Qualified investor seeking mortgage-backed yield,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-055,private-mortgage-investing,Private Mortgage Investing,How does private mortgage investing compare with the main alternatives?,planning-comparison,Qualified investor seeking mortgage-backed yield,template-expanded from SERP comparison intent,serp-private-mortgage-investing,comparison table
Q-056,private-mortgage-investing,Private Mortgage Investing,"What can I do when private mortgage investing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Qualified investor seeking mortgage-backed yield,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-057,partner-program,Partner / Referral Program,"What is mortgage referral partnership, and when is it useful in Ontario?",awareness-education,"Realtor, broker, lawyer, accountant, builder, or advisor",template-expanded from validated service entity,service-inventory,plain-language explainer
Q-058,partner-program,Partner / Referral Program,"How do lenders assess eligibility, equity, cost, and risk for mortgage referral partnership?",project-feasibility,"Realtor, broker, lawyer, accountant, builder, or advisor",template-expanded from financing triggers,service-inventory,checklist or calculator
Q-059,partner-program,Partner / Referral Program,How does mortgage referral partnership compare with the main alternatives?,planning-comparison,"Realtor, broker, lawyer, accountant, builder, or advisor",template-expanded from SERP comparison intent,serp-partner-program,comparison table
Q-060,partner-program,Partner / Referral Program,"What can I do when mortgage referral partnership is declined, delayed, or facing a deadline?",immediate-transaction-problem,"Realtor, broker, lawyer, accountant, builder, or advisor",template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-061,builder-consulting,Builder Consulting,"What is builder financing consulting, and when is it useful in Ontario?",awareness-education,Builder or developer preparing a financeable project,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-062,builder-consulting,Builder Consulting,"How do lenders assess eligibility, equity, cost, and risk for builder financing consulting?",project-feasibility,Builder or developer preparing a financeable project,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-063,builder-consulting,Builder Consulting,How does builder financing consulting compare with the main alternatives?,planning-comparison,Builder or developer preparing a financeable project,template-expanded from SERP comparison intent,serp-builder-consulting,comparison table
Q-064,builder-consulting,Builder Consulting,"What can I do when builder financing consulting is declined, delayed, or facing a deadline?",immediate-transaction-problem,Builder or developer preparing a financeable project,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-065,residential-mortgages,Residential Mortgages,"How much do you need to make to afford a $500,000 house in Ontario?",project-feasibility,Ontario homeowner or homebuyer,Answer Socrates PAA,answer-socrates-2026-07-19,calculator + worked examples
Q-066,residential-mortgages,Residential Mortgages,"How much mortgage can I get with a $70,000 salary in Canada?",project-feasibility,Ontario homeowner or homebuyer,Answer Socrates PAA,answer-socrates-2026-07-19,calculator + worked examples
Q-067,residential-mortgages,Residential Mortgages,"How much do you have to make a year to afford a $1,000,000 house in Canada?",project-feasibility,Ontario homeowner or homebuyer,Answer Socrates PAA,answer-socrates-2026-07-19,calculator + worked examples
Q-068,residential-mortgages,Residential Mortgages,"What income do you need for a $500,000 mortgage in Canada?",project-feasibility,Ontario homeowner or homebuyer,Answer Socrates PAA,answer-socrates-2026-07-19,calculator + worked examples

