observationId,sourceSurface,query,normalizedQuery,disposition,mappedServiceId,funnelStage,exclusionReason,observedAt,seed,country,language
AS-056,People Also Ask,"What income do you need for a $500,000 mortgage in Canada?",what income do you need for a 500 000 mortgage in canada,retain-supporting,residential-mortgages,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
AS-057,People Also Ask,"What is the minimum income to buy a $500,000 house?",what is the minimum income to buy a 500 000 house,retain-supporting,residential-mortgages,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
AS-058,People Also Ask,What income is needed for a $1 million mortgage in Canada?,what income is needed for a 1 million mortgage in canada,retain-supporting,residential-mortgages,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
AS-059,People Also Ask,"What is the monthly payment on a $400,000 mortgage at 7%?",what is the monthly payment on a 400 000 mortgage at 7,retain-supporting,residential-mortgages,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
AS-060,People Also Ask,How can I cut 10 years off a 30-year mortgage?,how can i cut 10 years off a 30 year mortgage,retain-supporting,residential-mortgages,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
AS-061,People Also Ask,What is the 2-2-2 rule for mortgages?,what is the 2 2 2 rule for mortgages,retain-supporting,residential-mortgages,planning-comparison,,2026-07-19,Ontario real estate financing,Canada,English
AS-062,People Also Ask,What is the 20-30-40 rule for mortgages?,what is the 20 30 40 rule for mortgages,retain-supporting,residential-mortgages,planning-comparison,,2026-07-19,Ontario real estate financing,Canada,English
AS-063,People Also Ask,What should you not tell a mortgage lender?,what should you not tell a mortgage lender,retain-supporting,residential-mortgages,planning-comparison,,2026-07-19,Ontario real estate financing,Canada,English
AS-064,People Also Ask,What is the difference between a mortgage lender and a bank?,what is the difference between a mortgage lender and a bank,retain-supporting,residential-mortgages,planning-comparison,,2026-07-19,Ontario real estate financing,Canada,English

