"id","query","normalizedQuery","segmentId","segmentName","borrowerProfile","financingTrigger","primaryFunnelLayer","layerName","secondaryFunnelLayer","intent","geography","clusterId","targetPath","pageType","priority","disposition","evidenceClass","marketMetricStatus","monthlySearches","cpc","difficulty","gscClicks","gscImpressions","gscCtr","gscPosition","fairlendGscStatus","serpValidationQuery","rankingScope","currentRankingUrls","observedAt","confidence","sourceRefs","rationale"
"KW-011","institutional vs private mortgage Ontario","institutional vs private mortgage ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L3","evaluation-planning-comparison","","commercial-comparison","Ontario","lender-comparison","/resources/a-vs-b-vs-private-mortgage","Comparison / decision page","P0","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender vs B lender vs private mortgage Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A vs B vs private mortgage comparison; Sole A/B/private comparison owner; individual service pages explain their tier but do not recreate the full matrix."
"KW-012","fixed vs variable prime mortgage Ontario","fixed vs variable prime mortgage ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L3","evaluation-planning-comparison","","commercial-comparison","Ontario","lender-comparison","/resources/a-vs-b-vs-private-mortgage","Comparison / decision page","P0","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender vs B lender vs private mortgage Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A vs B vs private mortgage comparison; Sole A/B/private comparison owner; individual service pages explain their tier but do not recreate the full matrix."
"KW-013","A lender mortgage broker Ontario","a lender mortgage broker ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L4","qualification-commercial-investigation","","commercial-investigation","Ontario","a-service","/borrowers/institutional-mortgage","Service page","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","institutional mortgage lenders Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports Institutional mortgage service; Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1."
"KW-014","institutional mortgage lenders Ontario","institutional mortgage lenders ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L4","qualification-commercial-investigation","","commercial-investigation","Ontario","a-service","/borrowers/institutional-mortgage","Service page","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","institutional mortgage lenders Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports Institutional mortgage service; Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1."
"KW-015","prime mortgage pre approval Ontario","prime mortgage pre approval ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L4","qualification-commercial-investigation","","commercial-investigation","Ontario","a-service","/borrowers/institutional-mortgage","Service page","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","institutional mortgage lenders Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports Institutional mortgage service; Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1."
"KW-016","documents for A lender mortgage Canada","documents for a lender mortgage canada","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L4","qualification-commercial-investigation","","commercial-investigation","Canada with Ontario application","a-service","/borrowers/institutional-mortgage","Service page","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","institutional mortgage lenders Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports Institutional mortgage service; Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1."
"KW-017","switch private mortgage to A lender Ontario","switch private mortgage to a lender ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L5","transaction-urgency-rescue","L4","transactional-urgent","Ontario","a-service","/borrowers/institutional-mortgage","Service page","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","institutional mortgage lenders Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports Institutional mortgage service; Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1."
"KW-018","urgent institutional mortgage closing Ontario","urgent institutional mortgage closing ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L5","transaction-urgency-rescue","L4","transactional-urgent","Ontario","a-service","/borrowers/institutional-mortgage","Service page","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","institutional mortgage lenders Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports Institutional mortgage service; Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1."
"KW-019","move from B lender to bank mortgage","move from b lender to bank mortgage","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L5","transaction-urgency-rescue","L4","transactional-urgent","Ontario","a-service","/borrowers/institutional-mortgage","Service page","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","institutional mortgage lenders Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports Institutional mortgage service; Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1."
"KW-020","A lender mortgage renewal denied options","a lender mortgage renewal denied options","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L5","transaction-urgency-rescue","L4","transactional-urgent","Ontario","a-service","/borrowers/institutional-mortgage","Service page","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","institutional mortgage lenders Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports Institutional mortgage service; Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1."
"KW-021","what is a B lender mortgage in Canada","what is a b lender mortgage in canada","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L1","awareness-education","","informational","Canada with Ontario application","b-guide","/resources/b-lender-mortgage-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","B lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports B-lender mortgage guide; Institutional alternative only; no equity-first private promises or generic residential head terms."
"KW-022","how alternative mortgages work Ontario","how alternative mortgages work ontario","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L1","awareness-education","","informational","Ontario","b-guide","/resources/b-lender-mortgage-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","B lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports B-lender mortgage guide; Institutional alternative only; no equity-first private promises or generic residential head terms."
"KW-023","alternative institutional lender meaning","alternative institutional lender meaning","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L1","awareness-education","","informational","Ontario","b-guide","/resources/b-lender-mortgage-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","B lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports B-lender mortgage guide; Institutional alternative only; no equity-first private promises or generic residential head terms."
"KW-024","who are B mortgage lenders in Ontario","who are b mortgage lenders in ontario","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L1","awareness-education","","informational","Ontario","b-guide","/resources/b-lender-mortgage-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","B lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports B-lender mortgage guide; Institutional alternative only; no equity-first private promises or generic residential head terms."
"KW-025","B lender mortgage requirements Ontario","b lender mortgage requirements ontario","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L2","problem-project-feasibility","","informational-feasibility","Ontario","b-guide","/resources/b-lender-mortgage-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","B lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports B-lender mortgage guide; Institutional alternative only; no equity-first private promises or generic residential head terms."
"KW-026","minimum credit score for B lender mortgage","minimum credit score for b lender mortgage","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L2","problem-project-feasibility","","informational-feasibility","Ontario","b-guide","/resources/b-lender-mortgage-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","B lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports B-lender mortgage guide; Institutional alternative only; no equity-first private promises or generic residential head terms."
"KW-027","B lender self employed mortgage Ontario","b lender self employed mortgage ontario","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L2","problem-project-feasibility","","informational-feasibility","Ontario","b-guide","/resources/b-lender-mortgage-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","B lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports B-lender mortgage guide; Institutional alternative only; no equity-first private promises or generic residential head terms."
"KW-028","B lender debt service ratios Canada","b lender debt service ratios canada","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L2","problem-project-feasibility","","informational-feasibility","Canada with Ontario application","b-guide","/resources/b-lender-mortgage-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","B lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports B-lender mortgage guide; Institutional alternative only; no equity-first private promises or generic residential head terms."
"KW-029","B lender vs A lender mortgage Ontario","b lender vs a lender mortgage ontario","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L3","evaluation-planning-comparison","","commercial-comparison","Ontario","lender-comparison","/resources/a-vs-b-vs-private-mortgage","Comparison / decision page","P0","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender vs B lender vs private mortgage Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports A vs B vs private mortgage comparison; Sole A/B/private comparison owner; individual service pages explain their tier but do not recreate the full matrix."
"KW-030","B lender vs private mortgage Ontario","b lender vs private mortgage ontario","alternative-b","B / alternative institutional mortgages","Borrower with recoverable credit, non-standard income, or bank-policy mismatch","Bank decline without needing a fully private solution","L3","evaluation-planning-comparison","","commercial-comparison","Ontario","lender-comparison","/resources/a-vs-b-vs-private-mortgage","Comparison / decision page","P0","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender vs B lender vs private mortgage Ontario","cluster-primary SERP; not claimed as exact-query rank","https://rates.ca/guides/mortgage/b-lenders | https://www.truenorthmortgage.ca/blog/alternative-b-lender | https://wowa.ca/b-lender-mortgages","2026-07-20","directional","SERP-ALTERNATIVE-B;KP-UNAVAILABLE","Supports A vs B vs private mortgage comparison; Sole A/B/private comparison owner; individual service pages explain their tier but do not recreate the full matrix."
