"sourcePath","format","bytes","sha256","recordsOrTopLevelKeys","bodyDisposition"
"docs/SEO/research/keyword-and-funnel/landing-services-funnel-2026-07-19/service-opportunities.csv","csv","7544","ee8d76ef94b42fa239ab2f362469bca6ce6da84287809cd62b6e8fa2e4e75a71","16","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/keyword-cluster-validation-2026-07-20/cluster-summary.json","json","56792","19d77fec74cd94a9e40188d5c3c66c7b162884b6a5d2de5a76236f7aab67c125","6","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/keyword-cluster-validation-2026-07-20/fairlend-keyword-research-and-cluster-report.md","md","63924","b7be345af0ece8d9c3773e1ad9a98fe8dfef7cae2aa21ab3b9d3173b5a8f7ac9","","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/keyword-cluster-validation-2026-07-20/google-cluster-validation-2026-07-20.csv","csv","21330","b8a52b1b4df0a6b996a159cbf1c6052f13f145d55e511a989e948cffda34c533","32","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/keyword-cluster-validation-2026-07-20/google-validation-report-2026-07-20.md","md","16343","cd05d1e62b901b99a68ec784e023c4fd67072a338e1d7be729d65d95be7c1ea3","","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/keyword-cluster-validation-2026-07-20/google-validation-summary-2026-07-20.json","json","35888","79f26dd1dbe23227ffd54e6b24c8ffe17a4e93165d10e202609a5761cfba1d9b","13","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/keyword-cluster-validation-2026-07-20/page-cluster-map.csv","csv","32861","5f11c32debebcfa672f48d8d1664dfd4a26c6eda9b5b7750c5cc820da61d3578","32","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/90-day-roadmap.md","md","1793","a70ea5338e5e2b46a6fa0e195344d06732e581c4121854ec0428e16a1d2273f5","","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/README.md","md","1636","572ccd0c77585e0fc4a62e46d3e63d50217ba7961f972d951f10407213d5baba","","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/competitive-cluster-landscape.csv","csv","27879","d882fd9eb6281ec4fc4ffa1121313f5bfa627f70da23f6bafbea55b8c0cb8c0b","18","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/competitive-coverage-qa.csv","csv","860","02db73f575236856f96c9fc9eb256e7bc0b1e4eddb0bc9c1a1ea8c25b871174f","10","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/competitive-keyword-outranking-strategy.csv","csv","517082","cccec21c395999c525cfa5d4b4fd86a1471546f65ba502d9990d83f9652a9d62","160","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/competitive-landscape-and-outranking-strategy.md","md","243069","8239946b71e8ab6bb3e6e27a8e0449fcd2bcd538efae61fc41aa7450aef89c94","","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/competitive-landscape-summary.json","json","25866","8ddec21a3bb30f6d08f06c560565220b64aa6b6e3855ea5efbe62e445c2c0378","5","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/competitor-domain-landscape.csv","csv","118493","420b42144b667aa361b9d143367bd9899d9e86a7bc9b356e8823c9853daf8283","221","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/coverage-qa.csv","csv","1211","5a3f87f539c39f83982a6e06f7b59481a15880496350da1a119193031f6a362d","14","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/evidence-ledger.csv","csv","7507","4628fa45c9fa701a26fdace203ed1c7cdafff96e74e33522db2f95d357efb0c0","16","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/fairlend-competitive-outranking-strategy.html","html","394974","e800bf9579bb77e9de083dd6e9d21bfefb482648a95b357e49e3fd23f237c2d5","","Presentation derivative inventoried; its underlying findings are embedded from the canonical Markdown/CSV/JSON sources."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/keyword-demand-and-ranking-validation.csv","csv","107360","3f58f0ac72fd37dab332aa604b8b72d778bde695c5b10a414090f7bcce494616","160","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/keyword-universe.csv","csv","184387","98deb2944ca760890f8aeb5e5693361380bec6539b181300438e18e25b177a66","160","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/live-serp-scan-2026-07-20.json","json","251543","b3a477c00ae3e31bbbc0b4f8e3750b32441e3285c5915fe31c98af80dc453b7b","160","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/mortgage-borrower-keyword-research-and-strategy.md","md","36805","32a4b64f986be19c63ea309bee51f0bfad46c4d147851ceedcfb2aa42d1c551d","","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/page-cluster-map.csv","csv","15870","4ea758b9ad8b8fda8be41a295dc69f57bdb634cab9299ad7b064b0b0a206d818","18","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/question-bank.csv","csv","51379","9277cc4e8d7d86f8afdfbda0353d7e6798ed8674055e29e3384eb86dd94fe18e","120","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/research-summary.json","json","6413","196363dea2db1ca6f3cd5e4ff4a8f31bdf3f029f0a2d180a88fbd8380600e434","9","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/run-manifest.json","json","1685","96e3d683ab92c1cff7b0e8cdf4d272ff698c47d60f7c081eae5873a9258f0785","7","Embedded in full below."
"docs/SEO/research/keyword-and-funnel/mortgage-borrower-strategy-2026-07-20/service-opportunity-matrix.csv","csv","3934","11c35ad4f07fd1b1c0a6528a3330cd8bde8887e6289735e69a79b35c2a271713","8","Embedded in full below."
