recordType,recordId,leadCaptureScore,authorityBuildScore,model,inputSummary,evidenceCaps
keyword,keyword-garden-suite-mississauga,59,48,evidence-null-aware-v1,Measured volume 90; CPC 2.15; difficulty 0; public SERP not observed; official sources 0; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-garden-suites-toronto-update,50,60,evidence-null-aware-v1,Measured volume 10; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-garden-suite-financing-toronto,78,51,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP observed; official sources 1; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-laneway-suite-financing-toronto,78,51,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP observed; official sources 2; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-garden-suite-vs-airbnb-toronto,56,50,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 3; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-financing,78,60,evidence-null-aware-v1,Measured volume 880; CPC 8.15; difficulty 10; public SERP not observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-mortgage,79,74,evidence-null-aware-v1,Measured volume 590; CPC 7.12; difficulty 0; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-mortgage-ontario,82,60,evidence-null-aware-v1,Measured volume 170; CPC 8.88; difficulty 0; public SERP observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-financing-canada,78,56,evidence-null-aware-v1,Measured volume 140; CPC 8.6; difficulty 17; public SERP not observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-commercial-construction-loan,79,57,evidence-null-aware-v1,Measured volume 110; CPC 9.92; difficulty 0; public SERP not observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-loan-toronto,83,57,evidence-null-aware-v1,Measured volume 90; CPC 3.87; difficulty 0; public SERP observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-loan-lender,77,49,evidence-null-aware-v1,Measured volume 50; CPC 11.5; difficulty unavailable; public SERP not observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-mortgage-lender,81,51,evidence-null-aware-v1,Measured volume 30; CPC 9.31; difficulty 0; public SERP not observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-to-permanent-financing,63,50,evidence-null-aware-v1,Measured volume 110; CPC 10.93; difficulty 20; public SERP not observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-builder-financing-construction,70,46,evidence-null-aware-v1,Measured volume 10; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-land-and-construction-financing,69,46,evidence-null-aware-v1,Measured volume 20; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-draw-financing-ontario,71,48,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP observed; official sources 2; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-draw-reimbursement-gap,70,44,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 0; confidence low.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-builder-material-deposit-financing,70,44,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 0; confidence low.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-stalled-construction-project-financing,65,32,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 0; confidence low.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-lender-stopped-construction-draws,65,32,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 0; confidence low.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-mortgage-broker-for-realtors-toronto,61,40,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP observed; official sources 1; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-mortgage-broker-referral-partnership,54,38,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 1; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-refer-construction-financing-deal-ontario,57,38,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 2; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-mortgage-broker-for-construction-loans,73,48,evidence-null-aware-v1,Measured volume 10; CPC 0.78; difficulty 39; public SERP not observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-mortgage-broker-toronto,3,3,evidence-null-aware-v1,Excluded or down-ranked traffic receives no opportunity value; evidence confidence records only the exclusion evidence quality.,Excluded or down-ranked traffic receives no opportunity value.
keyword,keyword-mortgage-calculator,3,3,evidence-null-aware-v1,Excluded or down-ranked traffic receives no opportunity value; evidence confidence records only the exclusion evidence quality.,Excluded or down-ranked traffic receives no opportunity value.
keyword,keyword-realtor-mortgage-calculator,3,3,evidence-null-aware-v1,Excluded or down-ranked traffic receives no opportunity value; evidence confidence records only the exclusion evidence quality.,Excluded or down-ranked traffic receives no opportunity value.
keyword,keyword-grey-gardens-toronto,3,3,evidence-null-aware-v1,Excluded or down-ranked traffic receives no opportunity value; evidence confidence records only the exclusion evidence quality.,Excluded or down-ranked traffic receives no opportunity value.
keyword,keyword-garden-suite-edmonton,3,3,evidence-null-aware-v1,Excluded or down-ranked traffic receives no opportunity value; evidence confidence records only the exclusion evidence quality.,Excluded or down-ranked traffic receives no opportunity value.
keyword,keyword-roof-financing,3,3,evidence-null-aware-v1,Excluded or down-ranked traffic receives no opportunity value; evidence confidence records only the exclusion evidence quality.,Excluded or down-ranked traffic receives no opportunity value.
keyword,keyword-construction-lien,3,3,evidence-null-aware-v1,Excluded or down-ranked traffic receives no opportunity value; evidence confidence records only the exclusion evidence quality.,Excluded or down-ranked traffic receives no opportunity value.
page-opportunity,opportunity-homepage-pathways,82,74,top-three-included-keywords-v1,Lead inputs: keyword-construction-loan-toronto | keyword-construction-mortgage-ontario | keyword-construction-mortgage-lender; authority inputs: keyword-mli-select | keyword-construction-mortgage | keyword-cmhc-mli-select-financing.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-five-plus-mli-financing,79,70,top-three-included-keywords-v1,Lead inputs: keyword-construction-financing-toronto | keyword-multiplex-construction-financing-toronto | keyword-mli-select-construction-financing; authority inputs: keyword-mli-select | keyword-cmhc-mli-select-financing | keyword-mli-select-financing.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-mli-select-planning-guide,64,70,top-three-included-keywords-v1,Lead inputs: keyword-mli-select-financing | keyword-mli-select | keyword-cmhc-mli-select-financing; authority inputs: keyword-mli-select | keyword-cmhc-mli-select-financing | keyword-mli-select-financing.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-five-plus-financing-roadmap,79,60,top-three-included-keywords-v1,Lead inputs: keyword-construction-financing-toronto | keyword-multiplex-construction-financing-toronto | keyword-mli-select-construction-financing; authority inputs: keyword-mli-select-construction-financing | keyword-multi-family-construction-financing | keyword-apartment-construction-financing.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-garden-laneway-financing,73,70,top-three-included-keywords-v1,Lead inputs: keyword-garden-suite-financing-toronto | keyword-laneway-suite-financing-toronto | keyword-garden-suites-toronto; authority inputs: keyword-garden-suite | keyword-garden-suites-toronto | keyword-toronto-garden-suites.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-garden-suite-feasibility,62,70,top-three-included-keywords-v1,Lead inputs: keyword-garden-suites-toronto | keyword-toronto-garden-suites | keyword-garden-suite-brampton; authority inputs: keyword-garden-suite | keyword-garden-suites-toronto | keyword-toronto-garden-suites.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-suite-rental-comparison,62,70,top-three-included-keywords-v1,Lead inputs: keyword-garden-suites-toronto | keyword-toronto-garden-suites | keyword-garden-suite-brampton; authority inputs: keyword-garden-suite | keyword-garden-suites-toronto | keyword-toronto-garden-suites.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-drawflow-builder-financing,82,65,top-three-included-keywords-v1,Lead inputs: keyword-construction-loan-toronto | keyword-construction-mortgage-ontario | keyword-construction-mortgage-lender; authority inputs: keyword-construction-mortgage | keyword-construction-financing | keyword-construction-mortgage-ontario.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-construction-draw-guide,70,47,top-three-included-keywords-v1,Lead inputs: keyword-construction-draw-financing-ontario | keyword-construction-draw-reimbursement-gap | keyword-builder-material-deposit-financing; authority inputs: keyword-construction-to-permanent-financing | keyword-construction-draw-financing-ontario | keyword-construction-draw-reimbursement-gap.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-stalled-project-rescue,65,32,top-three-included-keywords-v1,Lead inputs: keyword-stalled-construction-project-financing | keyword-lender-stopped-construction-draws; authority inputs: keyword-stalled-construction-project-financing | keyword-lender-stopped-construction-draws.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-partner-referrals,57,39,top-three-included-keywords-v1,Lead inputs: keyword-mortgage-broker-for-realtors-toronto | keyword-refer-construction-financing-deal-ontario | keyword-mortgage-broker-referral-partnership; authority inputs: keyword-mortgage-broker-for-realtors-toronto | keyword-mortgage-broker-referral-partnership | keyword-refer-construction-financing-deal-ontario.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
page-opportunity,opportunity-partner-readiness-resource,57,38,top-three-included-keywords-v1,Lead inputs: keyword-refer-construction-financing-deal-ontario; authority inputs: keyword-refer-construction-financing-deal-ontario.,"Only included keywords count; unavailable demand contributes zero research-demand points, and failed provider SERPs cap evidence-dependent components."
