evidenceId,opportunityId,proposedUrl,workstream,requirement,status,owner,sourceObservationRefs,verificationGate,refreshCadence
evidence-garden-laneway-financing-mblaa-individual-identity,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-garden-laneway-financing-mblaa-rate-advertising,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-garden-laneway-financing-mblaa-misleading-guarantee-control,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-garden-laneway-financing-approval,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-garden-suite-feasibility-external-source-pack,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-toronto-garden-suites | source-official-toronto-preapproved-suites,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-garden-suite-feasibility-original-1,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Address-feasibility checklist,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-garden-suite-feasibility-original-2,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Municipality-specific evidence standard,missing,FairLend SEO operator and assigned professional reviewer,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-garden-suite-feasibility-original-3,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Current incentive-status log,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-garden-suite-feasibility-original-4,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Expert-reviewed cost and document taxonomy,missing,FairLend SEO operator and assigned professional reviewer,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-garden-suite-feasibility-mblaa-brokerage-identity,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-garden-suite-feasibility-mblaa-individual-identity,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-garden-suite-feasibility-mblaa-rate-advertising,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-garden-suite-feasibility-mblaa-misleading-guarantee-control,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-garden-suite-feasibility-approval,opportunity-garden-suite-feasibility,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-suite-rental-comparison-external-source-pack,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-toronto-short-term-rentals | source-official-toronto-garden-suites,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-suite-rental-comparison-original-1,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Municipal-rule comparison,missing,FairLend SEO operator and assigned professional reviewer,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-suite-rental-comparison-original-2,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Tax and financing decision matrix,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-suite-rental-comparison-original-3,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Long-term rent methodology,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-suite-rental-comparison-original-4,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,Professional review dates,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-suite-rental-comparison-mblaa-brokerage-identity,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-suite-rental-comparison-mblaa-individual-identity,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-suite-rental-comparison-mblaa-rate-advertising,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-suite-rental-comparison-mblaa-misleading-guarantee-control,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-suite-rental-comparison-approval,opportunity-suite-rental-comparison,/garden-suite-financing-gta/feasibility,garden-laneway-suite-financing,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-drawflow-builder-financing-external-source-pack,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-ontario-construction-act | source-public-serp-draw,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-drawflow-builder-financing-original-1,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,Approved DrawFlow term sheet and operating procedure,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-drawflow-builder-financing-original-2,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,Eligible-cost and verification policy,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-drawflow-builder-financing-original-3,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,Builder qualification matrix,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-drawflow-builder-financing-original-4,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,Case-evidence dossier with locked savings claim,missing,FairLend operations and compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-drawflow-builder-financing-mblaa-brokerage-identity,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-drawflow-builder-financing-mblaa-individual-identity,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-drawflow-builder-financing-mblaa-rate-advertising,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-drawflow-builder-financing-mblaa-misleading-guarantee-control,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-drawflow-builder-financing-approval,opportunity-drawflow-builder-financing,/construction-draw-financing,drawflow-builder-financing,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-construction-draw-guide-external-source-pack,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-ontario-construction-act | source-search-insight-draw-guide,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-construction-draw-guide-original-1,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,Draw request and verification diagram,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-construction-draw-guide-original-2,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,Eligible-cost and deposit matrix,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-construction-draw-guide-original-3,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,Holdback and cash-flow worksheet,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-construction-draw-guide-original-4,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,Approved comparison assumptions,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-construction-draw-guide-mblaa-brokerage-identity,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-construction-draw-guide-mblaa-individual-identity,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
