id,keyword,clusterId,clusterName,priority,funnelStage,providerIntent,searchVolume,keywordDifficulty,cpc,competition,metricsStatus,opportunityScore,scoreRationale,serpValidation,proposedPageType,sourceSeeds,sourceFiles
keyword-can-i-build-a-multiplex-in-toronto,can i build a multiplex in toronto,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,
keyword-construction-financing-process-canada,construction financing process canada,construction-financing-readiness,Construction-financing requirements and process,P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,,
keyword-construction-financing-requirements-ontario,construction financing requirements ontario,construction-financing-readiness,Construction-financing requirements and process,P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,,
keyword-construction-loan-equity-requirements-canada,construction loan equity requirements canada,construction-financing-readiness,Construction-financing requirements and process,P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,,
keyword-construction-loan-requirements-canada,construction loan requirements canada,construction-financing-readiness,Construction-financing requirements and process,P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,,
keyword-cost-to-build-5-unit-multiplex-toronto,cost to build 5 unit multiplex toronto,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,
keyword-cost-to-build-6-plex-toronto,cost to build 6 plex toronto,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,
keyword-how-does-construction-financing-work-in-ontario,how does construction financing work in ontario,construction-financing-readiness,Construction-financing requirements and process,P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,,
keyword-how-to-build-a-multiplex-in-toronto,how to build a multiplex in toronto,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,
keyword-multiplex-development-cost-toronto,multiplex development cost toronto,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,
keyword-multiplex-development-feasibility-toronto,multiplex development feasibility toronto,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,
keyword-multiplex-feasibility-study-toronto,multiplex feasibility study toronto,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,
keyword-toronto-multiplex-permit,toronto multiplex permit,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,,exact-request-returned-no-row,63,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,
keyword-commercial-construction-loan-draw-schedule,commercial construction loan draw schedule,draw-schedule-cash-flow,"Construction draw schedules, cash-flow gaps, and DrawFlow",P1,awareness-research,informational,10,,,,numeric-discovery-metric,61,demand:8; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Explainer + worked schedule + downloadable template + comparison + video,construction loan draw schedule,06-construction-draw-schedule.json | 07-exact-longtail-metrics.json
keyword-construction-loan-draw-schedule-excel,construction loan draw schedule excel,draw-schedule-cash-flow,"Construction draw schedules, cash-flow gaps, and DrawFlow",P1,awareness-research,transactional,10,,,,numeric-discovery-metric,61,demand:8; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Explainer + worked schedule + downloadable template + comparison + video,construction loan draw schedule,06-construction-draw-schedule.json | 07-exact-longtail-metrics.json
keyword-construction-loan-draw-schedule-template,construction loan draw schedule template,draw-schedule-cash-flow,"Construction draw schedules, cash-flow gaps, and DrawFlow",P1,awareness-research,informational,10,,,0,numeric-discovery-metric,61,demand:8; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Explainer + worked schedule + downloadable template + comparison + video,construction loan draw schedule,06-construction-draw-schedule.json | 07-exact-longtail-metrics.json
keyword-construction-loan-draw-schedule-template-excel,construction loan draw schedule template excel,draw-schedule-cash-flow,"Construction draw schedules, cash-flow gaps, and DrawFlow",P1,awareness-research,informational,10,,,,numeric-discovery-metric,61,demand:8; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Explainer + worked schedule + downloadable template + comparison + video,construction loan draw schedule,06-construction-draw-schedule.json
keyword-accessory-dwelling-unit-ontario,accessory dwelling unit ontario,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,feasibility-consideration,,,,1.97,0.37,exact-row-returned-volume-unavailable,60,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,07-exact-longtail-metrics.json
keyword-construction-draw-inspection-ontario,construction draw inspection ontario,draw-schedule-cash-flow,"Construction draw schedules, cash-flow gaps, and DrawFlow",P1,feasibility-consideration,,,,,,exact-request-returned-no-row,60,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Explainer + worked schedule + downloadable template + comparison + video,,
keyword-garden-suite-canada,garden suite canada,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,feasibility-consideration,commercial,,,,,volume-unavailable,60,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,garden suite permit Toronto,04-garden-suite-permits.json
keyword-garden-suite-rental-income-toronto,garden suite rental income toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,feasibility-consideration,,,,,,exact-request-returned-no-row,60,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-garden-suite-return-on-investment-toronto,garden suite return on investment toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,feasibility-consideration,,,,,,exact-request-returned-no-row,60,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-garden-suite-size-limit-toronto,garden suite size limit toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,60,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-garden-suite-vs-laneway-suite-toronto,garden suite vs laneway suite toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,feasibility-consideration,,,,,,exact-request-returned-no-row,60,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-progress-draw-mortgage-ontario,progress draw mortgage ontario,draw-schedule-cash-flow,"Construction draw schedules, cash-flow gaps, and DrawFlow",P1,feasibility-consideration,,,,,,exact-row-returned-volume-unavailable,60,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Explainer + worked schedule + downloadable template + comparison + video,,07-exact-longtail-metrics.json
keyword-cmhc-mli-standard,cmhc mli standard,mli-select-requirements,"MLI Select requirements, scoring, and takeout readiness",P1,feasibility-consideration,informational,30,,0.01,0.02,numeric-discovery-metric,59,demand:12; attainability:6; local:7; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Primary-source-backed program guide + eligibility checklist + scenario calculator,MLI Select requirements,02-mli-requirements.json
keyword-construction-loan-lender,construction loan lender,construction-financing-readiness,Construction-financing requirements and process,P2,buying-signal,commercial,50,,11.5,0.08,numeric-discovery-metric,58,demand:16; attainability:6; local:7; asset-fit:9; funnel:10; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-construction-financing-companies,construction financing companies,construction-financing-readiness,Construction-financing requirements and process,P2,buying-signal,commercial,10,22,,1,numeric-discovery-metric,58,demand:8; attainability:14; local:7; asset-fit:9; funnel:10; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-construction-loan-draw-schedule-spreadsheet,construction loan draw schedule spreadsheet,draw-schedule-cash-flow,"Construction draw schedules, cash-flow gaps, and DrawFlow",P1,awareness-research,navigational,10,47,,,numeric-discovery-metric,58,demand:8; attainability:3; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Explainer + worked schedule + downloadable template + comparison + video,construction loan draw schedule,06-construction-draw-schedule.json
keyword-new-construction-financing-process,new construction financing process,construction-financing-readiness,Construction-financing requirements and process,P2,awareness-research,commercial,10,,,,numeric-discovery-metric,58,demand:8; attainability:6; local:7; asset-fit:15; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-cmhc-mli-select-calculator,cmhc mli select calculator,mli-select-requirements,"MLI Select requirements, scoring, and takeout readiness",P1,awareness-research,,,,,0.03,exact-row-returned-volume-unavailable,58,demand:5; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Primary-source-backed program guide + eligibility checklist + scenario calculator,,07-exact-longtail-metrics.json
keyword-garden-suite-budget-template,garden suite budget template,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,58,demand:5; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-garden-suite-builder-toronto,garden suite builder toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,buying-signal,,,,,,exact-request-returned-no-row,58,demand:5; attainability:6; local:15; asset-fit:9; funnel:10; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-garden-suite-financing-calculator,garden suite financing calculator,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,58,demand:5; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-mli-select-accessibility-requirements,mli select accessibility requirements,mli-select-requirements,"MLI Select requirements, scoring, and takeout readiness",P1,awareness-research,,,,,,exact-request-returned-no-row,58,demand:5; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Primary-source-backed program guide + eligibility checklist + scenario calculator,,
keyword-mli-select-affordability-requirements,mli select affordability requirements,mli-select-requirements,"MLI Select requirements, scoring, and takeout readiness",P1,awareness-research,,,,,,exact-request-returned-no-row,58,demand:5; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Primary-source-backed program guide + eligibility checklist + scenario calculator,,
keyword-mli-select-application-checklist,mli select application checklist,mli-select-requirements,"MLI Select requirements, scoring, and takeout readiness",P1,awareness-research,,,,,,exact-request-returned-no-row,58,demand:5; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Primary-source-backed program guide + eligibility checklist + scenario calculator,,
keyword-mli-select-energy-requirements,mli select energy requirements,mli-select-requirements,"MLI Select requirements, scoring, and takeout readiness",P1,awareness-research,,,,,,exact-request-returned-no-row,58,demand:5; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Primary-source-backed program guide + eligibility checklist + scenario calculator,,
keyword-mli-select-points-calculator,mli select points calculator,mli-select-requirements,"MLI Select requirements, scoring, and takeout readiness",P1,awareness-research,,,,,,exact-request-returned-no-row,58,demand:5; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Primary-source-backed program guide + eligibility checklist + scenario calculator,,
keyword-builder-line-of-credit-ontario,builder line of credit ontario,builder-capital-readiness,Builder working capital and project-readiness,P2,feasibility-consideration,,,,,,exact-request-returned-no-row,57,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Builder-readiness guide + document checklist + qualification pathway,,
keyword-construction-loan-down-payment-ontario,construction loan down payment ontario,construction-financing-readiness,Construction-financing requirements and process,P2,feasibility-consideration,,,,,,exact-request-returned-no-row,57,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,,
keyword-construction-to-permanent-loan-canada,construction to permanent loan canada,rental-conversion-takeout,"Rental conversion, stabilization, and construction-to-takeout planning",P2,feasibility-consideration,,,,4.77,0.62,exact-row-returned-volume-unavailable,57,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,End-to-end conversion and takeout roadmap,,07-exact-longtail-metrics.json
keyword-convert-house-to-multiplex-toronto,convert house to multiplex toronto,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,,exact-request-returned-no-row,57,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,
keyword-missing-middle-housing-toronto,missing middle housing toronto,multiplex-feasibility,"Multiplex feasibility, conversion, and 5+ unit boundary",P2,awareness-research,,,,,0,exact-row-returned-volume-unavailable,57,demand:5; attainability:6; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Feasibility guide + property-screening checklist + 2–4 versus 5+ decision tree,,07-exact-longtail-metrics.json
